X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Outlier
2.875000791,5.339998436,5.883905313,11.3332013,149.7353265,27.26035245,3NhaIUfh12PAdrGa$S3__F,2.06328773,IfcRailing,0.075688226,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,1sq3ZCKcn6Q9Qy3oJcjS6Q,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,2yD66Bokr0jRIU3nebolJC,0.82537973,IfcRailing,0.013959764,1
1.310086924,6.445574555,1.299999663,4.63317063,31.9054418,11.85421231,0bpfxAz3XBrAx$RjFuHwvy,1.721417577,IfcRailing,0.145215686,1
2.385,0.4175,1.1175,2.227782366,159.5859627,59.08696836,3w9$CvKpv0dhLlXd16X1xQ,0.82484013,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,2sYQ3wpfX8eQVzo8SbwlxD,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,3zJdAHxef7TALi7pssIWZx,0.82537973,IfcRailing,0.013959764,1
0.29,4.005000375,4.151546488,7.417076328,150.9571767,22.10100927,0wkEuT1wr1kOyafLY4v_PH,1.085903143,IfcRailing,0.049133645,1
5.339999866,2.57600043,5.870000076,11.08764258,149.7722946,26.70529976,0mxk1RW8H5mvX1dNnpRq2e,1.976993272,IfcRailing,0.074029997,1
2.6100017,5.339997959,5.870000076,11.09220932,149.7337057,26.80224246,0mxk1RW8H5mvX1dNnpRqEm,1.985498738,IfcRailing,0.074079575,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,1nYv6J5nPBrPLaXl8sUO7s,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0mStS$juH0$wi3dHqZrUgd,0.82537973,IfcRailing,0.013959764,1
1.746,3.982501922,5.883905313,8.542079137,150.2887062,23.06791569,3NhaIUfh12PAdrGa$S3__B,1.311129535,IfcRailing,0.056837798,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,2uwjZWb$56Dv$G_4Myi2RD,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,3w1$SS5sbA_8NkDoDBJkNw,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0bxuYU3vbDUwnCCSeCFbMl,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,13UvdNNU9A$vAHyJKoeOLC,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0QhUJyYVf6kv6QGMf6oO99,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,17EsVZ1aP6LhBbb$qVMGSf,0.82537973,IfcRailing,0.013959764,1
2.385,0.425,1.1175,2.224077552,159.6317642,59.17607663,1ebtU0g4fAwx_7wUW5_nPd,0.824473652,IfcRailing,0.01393255,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,297XluJ5TBZ9MDdav8AJdt,0.82537973,IfcRailing,0.013959764,1
1.464999008,3.910001422,5.870000076,7.953753088,150.830497,23.4096579,0mxk1RW8H5mvX1dNnpRqEq,1.234462807,IfcRailing,0.052733056,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,3otxB_Cqf9RewWFNuf574U,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0qOY75ijvFsR_umkpK6Led,0.82537973,IfcRailing,0.013959764,1
2.385,0.435,1.1175,2.227782366,159.5859627,59.12562231,0BsfPMIFH8Zv_Ow$15bzvY,0.82537973,IfcRailing,0.013959764,1
0.24,3.950000308,3.156856246,0.597546335,102.3497274,184.7173013,0wkEuT1wr1kOyafLY4v_PL,1.078431269,IfcRailing,0.00583828,1