global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s
35QeWibpT4DfyH3NIf2ngM,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nmnC,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nn1R,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3FQVPSydHDKO1C1ghFW_N5,IfcWindow,0.95,0.32,1.18,2.565,0.273392998,0.031,82.74193548,8.819128958
2HSERXhNLEzu4p5VeFtKD0,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088
1byTDaqS91rBnWJlv$nmrp,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1ZAn9yRZj7EAVstuwcZV7M,IfcWindow,1.2,0.32,0.825,2.2715,0.342127331,0.028325,80.19417476,12.07863481
1byTDaqS91rBnWJlv$nmpw,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2oAY,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1hOSvn6df7F8_7GcBWlRRL,IfcWindow,0.617,0.95,2.4,9.044896,0.332507559,0.098674048,91.66438576,3.369756947
1eHJakbVPEdf9cGdMXVBAY,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nn54,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1l4CMjIZ1FcByDbvqjoVd8,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
3kVpB8D6LAugzJ0n2a1pgt,IfcSlab,2.45,0.45,0.3,1.625,0.653516131,0.05625,28.88888889,11.61806455
1Eo2$BaHX42AEkDvQQDocD,IfcWindow,1.372537683,1.424537683,0.3778,5.458225014,0.61071151,0.041999183,129.9602663,14.54103308
1byTDaqS91rBnWJlv$nmdJ,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2H9Xpd9Nf1Uu7_jFnBZWSx,IfcDoor,0.517,2.182,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144
35QeWibpT4DfyH3NIf2oC0,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2g$QZpOGbBUxSNx_ZgxJl5,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098844
0R38q9BnzFLed52g6e80mJ,IfcRailing,2.385,0.435,1.1175,2.227782366,0.82537973,0.013959764,159.5859627,59.12562231
2g$QZpOGbBUxSNx_ZgxG7q,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
35QeWibpT4DfyH3NIf2oXS,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1wm0wknPj1lQYtyTvGxDI0,IfcSlab,7.675,7.38,0.38,106.4208,2.922132226,8.97669,11.8552384,0.325524467
1hOSvn6df7F8_7GcBWlRLx,IfcWindow,0.617,0.95,2.4,9.044896,0.332507559,0.098674048,91.66438576,3.369756947
3rRj5Ulwj0CRgQ1K0AQxEg,IfcSlab,3.11,1.806203172,0.448898979,10.69417499,0.958871011,0.700421563,15.26819783,1.368991279
3RydqTN756gfIpUs6ir6AB,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
2aqH9Vitj7cAcHTfyIzO8z,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018
1byTDaqS91rBnWJlv$nmeg,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nnQb,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1yEYBNJcP6RPdjYCbIad6j,IfcSlab,3.11,1.80508566,0.421259918,10.68585206,0.95889401,0.699856448,15.26863414,1.370129564
3FXBwNe2vELBR$VbQMkAnE,IfcSlab,2.45,0.45,0.3,1.625,0.653516131,0.05625,28.88888889,11.61806455
1byTDaqS91rBnWJlv$n$Kj,IfcDoor,0.517,1.267,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858
1l0GAJtRTFv8$zmKJOH4oq,IfcWindow,0.617,1.019,0.959,4.25305924,0.330322653,0.048861284,87.04354278,6.760417
35QeWibpT4DfyH3NIf2nDz,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
00U97nJ51ADu9Un2R0RJbi,IfcSlab,7.675,7.38,0.38,106.4208,2.922131401,8.97669,11.8552384,0.325524375
0vXoO5Zpv3Mx5AM3AH5omQ,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
0mxk1RW8H5mvX1dNnpRqwu,IfcDoor,0.517,2.182,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144
1byTDaqS91rBnWJlv$n$Db,IfcDoor,0.517,1.267,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858
1aj$VJZFn2TxepZUBcKpac,IfcDoor,1.114,0.374,2.308,5.400468,0.265980739,0.097883984,55.17213112,2.717306024
2OBrcmyk58NupXoVOHUtoa,IfcSlab,6.009,2.43,0.213,26.117154,1.796231727,0.16840291,155.0873082,10.66627487
35QeWibpT4DfyH3NIf2nsN,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2OBrcmyk58NupXoVOHUtju,IfcSlab,1.656,2.371,0.213,6.416254,0.754606796,0.041092688,156.1410147,18.36352969
35QeWibpT4DfyH3NIf2n92,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1Ci4_9Ff97le_ukPGFs3$N,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088
1byTDaqS91rBnWJlv$nnhB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0otfaO0qPDAhynjJ6DmgKt,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
2g$QZpOGbBUxSNx_ZgxJoj,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1hOSvn6df7F8_7GcBWlSp1,IfcWindow,1.019,0.617,0.959,4.25305924,0.330322653,0.048861284,87.04354278,6.760417
3qpE7fVkr8dRZ2wfCc6tWA,IfcDoor,0.225,1.065,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029
35QeWibpT4DfyH3NIf2mVx,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nTY,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
25Lx$wIdHFAhVEMjnrwrs9,IfcWindow,1.415,0.32,1.68,5.3669,0.44207506,0.056107,95.65473114,7.879142714
1hOSvn6df7F8_7GcBWlSXO,IfcWindow,3,0.617,2.61,23.751856,1.01580199,0.221796648,107.0884353,4.57987981
1byTDaqS91rBnWJlv$n$uh,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2b9an2$8n5XB5eK3hCqj$A,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349
1sq3ZCKcn6Q9Qy3oJcjS6Q,IfcRailing,2.385,0.435,1.1175,2.227782366,0.82537973,0.013959764,159.5859627,59.12562231
2cz_Oqyof4R8qhyckBhTrP,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018
35QeWibpT4DfyH3NIf2o7X,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3QNfcVy3L7Kwu54LY_so2d,IfcDoor,0.32,1.085,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414
1byTDaqS91rBnWJlv$n$Qk,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0RLwbjSzj0u9QH55sCnSRT,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
3NhaIUfh12PAdrGa$S3__F,IfcRailing,2.875000791,5.339998436,5.883905313,11.3332013,2.06328773,0.075688226,149.7353265,27.26035245
1byTDaqS91rBnWJlv$nm7E,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0otfaO0qPDAhynjJ6DmgQg,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
0bpfxAz3XBrAx$RjFuHwvy,IfcRailing,1.310086924,6.445574555,1.299999663,4.63317063,1.721417577,0.145215686,31.9054418,11.85421231
1byTDaqS91rBnWJlv$n$nD,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3NYMu5Ps5BlvapoySwenJi,IfcWindow,1.21,0.32,2.72,7.4454,0.384804697,0.076102,97.8344853,5.056433428
1byTDaqS91rBnWJlv$n$5v,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
13UvdNNU9A$vAHyJKoeOLC,IfcRailing,2.385,0.435,1.1175,2.227782366,0.82537973,0.013959764,159.5859627,59.12562231
1byTDaqS91rBnWJlv$nmHr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2g$QZpOGbBUxSNx_ZgxJxR,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
0fwijrbxHF$OUAhL_DoXl9,IfcSlab,7.675,7.38,0.38,106.4208,2.922131401,8.97669,11.8552384,0.325524375
1byTDaqS91rBnWJlv$nmj8,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3y19XtkpDEw9A6kXlObgTV,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018
1hOSvn6df7F8_7GcBWlSga,IfcWindow,1.019,0.617,0.959,4.249626,0.330818335,0.04872698,87.21299781,6.78922304
35QeWibpT4DfyH3NIf2o03,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0bpfxAz3XBrAx$RjFuHvgA,IfcDoor,0.3143,1.1010006,2.525,4.346431765,0.262675542,0.02719423,159.8291932,9.659238235
2OBrcmyk58NupXoVOHUvR4,IfcDoor,0.374,1.216,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116
1byTDaqS91rBnWJlv$n$cb,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3Co16NYaj2FwiubABqwXUv,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018
1byTDaqS91rBnWJlv$n$iu,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nOv,IfcDoor,1.065,0.225,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029
1_90YXbZDAKA_u7Z36qQe_,IfcWindow,0.95,0.32,0.825,1.784,0.261984325,0.0230125,77.52308528,11.38443565
35QeWibpT4DfyH3NIf2mOc,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1hOSvn6df7F8_7GcBWlRrM,IfcSlab,3.908,17.166,0.505,131.9035192,5.139260314,18.09679302,7.288778684,0.283987351
1byTDaqS91rBnWJlv$nn3d,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nnxF,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0bpfxAz3XBrAx$RjFuHv4q,IfcDoor,0.3143,1.099548749,2.525,4.339643783,0.262252153,0.02715136,159.8315437,9.658895655
1byTDaqS91rBnWJlv$n$P5,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2OBrcmyk58NupXoVOHUt8F,IfcSlab,3.908,6.449,0.219,44.46483,2.032653457,0.418821408,106.1665644,4.853270195
0gJqgM_uD3HhjzBFQCliSP,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
2g$QZpOGbBUxSNx_ZgxG1w,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1UvQBmwUP1wwMo_BGRQ3Lz,IfcWindow,1.21,0.32,2.72,7.4454,0.384804697,0.076102,97.8344853,5.056433428
1byTDaqS91rBnWJlv$nmsg,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2sIn,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nmTD,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0qOY75ijvFsR_umkpK6Led,IfcRailing,2.385,0.435,1.1175,2.227782366,0.82537973,0.013959764,159.5859627,59.12562231
0ztdC3L1HAzhbhMHypqcDa,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1YpFJa4wz0QOrryLkEHU0u,IfcDoor,0.32,1.085,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414
35QeWibpT4DfyH3NIf2n09,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0mxk1RW8H5mvX1dNnpRqEq,IfcRailing,1.464999008,3.910001422,5.870000076,7.953753088,1.234462807,0.052733056,150.830497,23.4096579
1byTDaqS91rBnWJlv$nnKl,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1wZDK8HB1B09_nTKprvePI,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
2OBrcmyk58NupXoVOHUtC0,IfcSlab,3.908,6.449,0.219,44.46483,2.032653457,0.418821408,106.1665644,4.853270195
27tsNyngD908ZF6_DqzQuC,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088
1byTDaqS91rBnWJlv$nndY,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2g$QZpOGbBUxSNx_ZgxG25,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098844
1byTDaqS91rBnWJlv$n$Ls,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2oDt,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2g$QZpOGbBUxSNx_ZgxJk0,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
297XluJ5TBZ9MDdav8AJdt,IfcRailing,2.385,0.435,1.1175,2.227782366,0.82537973,0.013959764,159.5859627,59.12562231
35QeWibpT4DfyH3NIf2o3Q,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1hOSvn6df7F8_7GcBWlRBU,IfcWindow,5.035,0.617,2.62,37.739076,1.640098443,0.337282498,111.891593,4.862684702
0DaKs9vZjE1R5K0GIDFxzL,IfcWindow,1.415,0.32,1.2,3.8645,0.428325254,0.043075,89.7156123,9.943708747
2g$QZpOGbBUxSNx_ZgxJsp,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
2OBrcmyk58NupXoVOHUtgP,IfcSlab,8.166,9.508,0.219,95.09753548,3.320535067,0.895852446,106.1531237,3.706564716
2uwjZWb$56Dv$G_4Myi2RD,IfcRailing,2.385,0.435,1.1175,2.227782366,0.82537973,0.013959764,159.5859627,59.12562231
3ej1GP$WL4eQZ6cZ35x41z,IfcSlab,7.675,7.38,0.61,119.3581,2.992045357,22.004905,5.424158841,0.135971746
1l0GAJtRTFv8$zmKJOH4hv,IfcWindow,0.617,1.019,0.959,4.249626,0.330818335,0.04872698,87.21299781,6.78922304
35QeWibpT4DfyH3NIf2nYS,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nmhs,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
376s9IwDr1o89AU3LdwJtO,IfcWindow,1.21,0.32,2.72,7.4454,0.384804697,0.076102,97.8344853,5.056433428
1CZILmCaHETO8tf3SgGEWh,IfcSlab,6,4.582734,0.35,53.8945346,2.098578037,3.81297858,14.13449708,0.55037761
3uJysHX9XAfg$97uAC4lIQ,IfcSlab,2.7,2.2,0.3,10.9,0.924211376,0.5,21.8,1.848422751
35QeWibpT4DfyH3NIf2nzB,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nbp,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0otfaO0qPDAhynjJ6Dmgjh,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1byTDaqS91rBnWJlv$nmmF,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nnRu,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0otfaO0qPDAhynjJ6Dmg1N,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
3z0eyO8Z93FgMBo2i5jrfw,IfcSlab,2.45,0.45,0.3,1.625,0.653516131,0.05625,28.88888889,11.61806455
0mxk1RW8H5mvX1dNnpRq2e,IfcRailing,5.339999866,2.57600043,5.870000076,11.08764258,1.976993272,0.074029997,149.7722946,26.70529976
1byTDaqS91rBnWJlv$nmeL,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nmJJ,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0ZGcf06TjCI8_1ZVSPB0fu,IfcSlab,2.520000143,1.35,0.25,5.683000343,0.747490282,0.133400008,42.60119935,5.603375083
1s1jVhK8z0pgKYcr9jt781,IfcDoor,1.165,0.667,2.696,6.9415335,0.383801683,0.06214232,111.7038027,6.176172381
1byTDaqS91rBnWJlv$n$9Q,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
22lekKWcTBXw2QT1AUf$4c,IfcRailing,2.385081205,0.435081585,1.1175,2.22593433,0.824929318,0.013946189,159.6087923,59.15087901
0yz7VbbQ92w9e4ISKc6P3N,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
0otfaO0qPDAhynjJ6DmgWH,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098844
1hOSvn6df7F8_7GcBWlS4Q,IfcWindow,1.019,0.617,0.959,4.249626,0.330818335,0.04872698,87.21299781,6.78922304
0wJLcGCZvB7hg$Ajh8TeET,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018
2g$QZpOGbBUxSNx_ZgxJrM,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
0y7GJzNMrAXRHmtLxG6dFE,IfcSlab,2.45,0.45,0.3,1.625,0.653516131,0.05625,28.88888889,11.61806455
35QeWibpT4DfyH3NIf2oEe,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0eOw95Ftz8ouxhngfqpnmz,IfcSlab,7.675,7.38,0.45,114.6685,2.992045357,13.417625,8.54611006,0.222993664
